DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
21:09.8,-3.296,142.934,10,6.2,Mw,249,,,1.05,NEI,2001100740
14:26.4,52.591,160.324,48.5,6.5,Mw,545,,,0.92,NEI,2001100840
20:38.2,52.631,160.214,33,6.4,Mw,432,,,0.99,NEI,2001100840
02:34.0,52.63,-132.2,20,6.1,Mw,432,,,0,PGC,2001101240
02:16.8,12.686,144.98,37,7,Mw,482,,,1.15,NEI,2001101240
27:00.1,0.839,125.98,33,6,Mw,151,,,1.11,NEI,2001101340
29:09.9,19.354,-64.932,33,6,Mw,215,,,0.87,NEI,2001101740
28:44.5,-4.102,123.907,33,7.5,Mw,234,,,1.14,NEI,2001101940
29:21.5,-37.137,178.982,18,6.7,Mw,320,,,1.26,NEI,2001102140
05:50.9,-18.494,168.108,33,6.1,Mw,358,,,0.9,NEI,2001102640
10:20.0,-5.912,150.196,33,7,Mw,254,,,0.92,NEI,2001103140
07:11.7,-17.289,-179.251,564.1,6.3,Mw,454,,,0.88,NEI,2001110540
47:55.0,9.643,-82.3,10,6.1,Mw,449,,,0.94,NEI,2001110940
47:36.5,22.371,-106.973,33,6.1,Mw,263,,,1.23,NEI,2001111340
43:02.3,53.627,170.551,33,6,ML,307,,,,AK,1970010640
43:23.1,53.627,170.551,33,6,Mw,307,,,1.13,NEI,2001111340
26:10.0,35.946,90.541,10,7.8,Mw,368,,,1.07,NEI,2001111440
03:06.1,-1.587,-15.578,10,6.3,Mw,220,,,1.23,NEI,2001111540
08:18.4,-6.88,128.921,33,6.2,Mw,122,,,1.04,NEI,2001112040
22:20.4,-16.255,178.019,10,6.3,Mw,209,,,1.33,NEI,2001112240
24:47.7,-16.242,178.054,10,6.2,Mw,163,,,1.12,NEI,2001112240
43:03.5,36.392,71.506,106.5,6.1,Mw,428,,,1.02,NEI,2001112340
53:46.2,-33.228,-178.573,10,6,Mw,91,,,1.22,NEI,2001112740
32:32.7,15.571,-93.106,84.9,6.4,Mw,447,,,0.88,NEI,2001112840
47:56.3,-12.738,166.664,100.5,6,Mw,243,,,0.96,NEI,2001120240
01:53.7,39.402,141.089,123.8,6.5,Mw,605,,,0.79,NEI,2001120240
32:29.8,-16.496,-177.54,10,6.4,Mw,169,,,1.11,NEI,2001120340
29:34.2,28.251,129.574,33,6.2,Mw,221,,,1.03,NEI,2001120840
15:02.6,-0.002,122.87,156.3,6.1,Mw,220,,,0.98,NEI,2001120940
53:18.4,-17.189,167.721,33,6.1,Mw,424,,,0.88,NEI,2001121240
02:35.0,-42.813,124.688,10,7.1,Mw,255,,,0.97,NEI,2001121240
02:58.3,23.954,122.734,14,6.8,Mw,499,,,1.04,NEI,2001121840
40:04.3,-10.91,165.863,74.2,6,Mw,233,,,1.01,NEI,2001122240
52:54.3,-9.613,159.53,16,6.8,Mw,385,,,1.17,NEI,2001122340
54:51.8,-14.647,167.262,153.2,6.2,Mw,403,,,1.18,NEI,2001122740
09:28.0,-8.357,-74.22,160.6,6,Mw,396,,,0.86,NEI,2001122840
39:06.8,-55.214,-129,10,6,Mw,78,,,1.07,NEI,2002010140
29:22.7,6.303,125.65,138.1,6.3,Mw,236,,,0.9,NEI,2002010140
50:33.5,-17.983,178.744,665.8,6.2,Mw,215,,,1.08,NEI,2002010240
22:48.8,-17.6,167.856,21,7.2,Mw,427,,,0.9,NEI,2002010240
05:27.7,36.088,70.687,129.3,6.2,Mw,431,,,0.87,NEI,2002010340
17:36.3,-17.664,168.004,10,6.6,Mw,386,,,1.14,NEI,2002010340
14:56.9,-3.212,142.427,11,6.7,Mw,333,,,1.18,NEI,2002011040
10:56.5,-5.651,151.074,43.6,6.4,Mw,441,,,1.06,NEI,2002011340
47:59.8,-17.334,167.722,10,6,Mw,173,,,1.09,NEI,2002011540
12:58.0,-6.314,105.205,10,6.1,Mw,209,,,1.23,NEI,2002011540
01:15.9,-5.527,151.097,41.1,6.2,Mw,191,,,0.96,NEI,2002011540
09:52.1,15.502,-93.133,80.2,6.4,Mw,431,,,0.94,NEI,2002011640
53:52.6,35.79,26.617,88,6.2,Mw,390,,,0.95,NEI,2002012240
50:28.7,49.381,155.594,33,6.1,Mw,528,,,0.82,NEI,2002012840
09:55.9,-15.304,-173.225,33,6.2,Mw,192,,,1.01,NEI,2002012840
58:19.2,-6.252,150.887,33,6,Mw,371,,,0.82,NEI,2002013040
11:28.4,38.573,31.271,5,6.5,Mw,482,,,0,ISK,2002020340
26:43.3,38.632,30.902,10,6,Mw,450,,,0.91,NEI,2002020340
27:24.7,-5.345,151.248,39,6.6,Mw,444,,,0.88,NEI,2002020540
46:37.8,-36.231,-100.301,10,6,Mw,124,,,1.2,NEI,2002021540
35:45.7,-3.731,150.992,10,6.1,Mw,175,,,1.41,NEI,2002021940
50:48.9,-5.685,151.258,40.2,6.3,Mw,472,,,0.87,NEI,2002022840
08:07.8,36.429,70.438,209,6.3,Mb,515,,,1,NEI,2002030340
08:19.7,36.502,70.482,225.6,7.4,Mw,138,,,1.06,NEI,2002030340
16:09.1,6.033,124.249,31,7.5,Mw,321,,,0.95,NEI,2002030541
27:53.2,5.871,124.274,23.3,6,Mw,166,,,0.89,NEI,2002030840
27:11.2,-56.019,-27.332,118.4,6,Mw,168,,,0.85,NEI,2002030940
33:33.8,-45.221,35.105,10,6,Mw,71,,,1.24,NEI,2002031740
14:14.9,-6.486,129.901,148.1,6.1,Mw,257,,,0.74,NEI,2002031940
56:33.8,36.062,69.315,8,6.1,Mw,416,,,1.07,NEI,2002032540
45:48.7,23.346,124.09,33,6.4,Mw,345,,,1.04,NEI,2002032640
56:22.4,-21.663,-68.329,125.1,6.5,Mw,486,,,0.98,NEI,2002032840
52:50.5,24.279,122.179,32.8,7.1,Mw,550,,,0.96,NEI,2002033140
41:26.1,-60.94,154.25,10,6.2,Mw,50,,,1.24,NEI,2002040740
48:55.2,-51.068,139.269,10,6.2,Mw,169,,,1.13,NEI,2002040840
56:56.4,-14.392,167.687,10,6.2,Mw,339,,,1.12,NEI,2002041140
02:46.2,16.985,-100.865,24.9,6.8,Mw,292,,,1.13,NEI,2002041840
08:36.8,-27.535,-70.586,62,6.7,Mw,462,,,1.09,NEI,2002041840
59:57.9,-16.382,173.259,33,6,Mw,368,,,0.96,NEI,2002042040
00:00.9,-56.135,-122.312,10,6.2,Mw,105,,,1.26,NEI,2002042440
06:07.0,13.088,144.619,85.7,7.1,Mw,257,,,1.04,NEI,2002042640
26:00.4,-17.948,-174.573,130.8,6.2,Mw,303,,,0.87,NEI,2002050840
56:10.4,-36.518,78.932,10,6.2,Mw,67,,,1.37,NEI,2002051440
46:05.8,24.636,121.922,10,6.2,Mw,335,,,0.98,NEI,2002051540
52:15.3,-30.749,-71.197,52.1,6,Mw,234,,,0.95,NEI,2002052340
36:32.0,53.815,-161.116,33,6.4,Mw,307,,,1.29,NEI,2002052540
04:22.5,-28.937,-66.797,22.2,6,Mw,354,,,0.98,NEI,2002052840
45:17.1,24.069,122.264,33,6.1,Mw,305,,,1,NEI,2002052840
53:48.5,-0.879,148.33,10,6.3,Mw,169,,,1.22,NEI,2002060640
48:36.2,10.985,140.69,33,6.1,Mw,253,,,1.17,NEI,2002061040
27:19.5,-47.801,99.751,10,6.6,Mw,153,,,1.08,NEI,2002061340
46:14.0,8.784,-83.992,35,6.4,Mw,424,,,1.08,NEI,2002061640
25:56.4,-4.651,-105.379,10,6,Mw,132,,,1.21,NEI,2002061740
26:22.9,-12.592,166.383,33,6.7,Mw,272,,,1.14,NEI,2002061740
56:22.8,-30.805,-71.124,54,6.6,Mw,420,,,1.02,NEI,2002061840
05:44.8,-4.495,146.768,33,6,Mw,331,,,0.76,NEI,2002062140
58:21.3,35.626,49.047,10,6.5,Mw,555,,,1.11,NEI,2002062240
50:35.1,-6.963,104.181,11,6.5,Mw,428,,,1.15,NEI,2002062740
16:10.4,-13.275,167.051,186.7,6,Mw,358,,,1.1,NEI,2002062740
19:30.3,43.752,130.666,566,7.3,Mw,712,,,0.86,NEI,2002062840
39:00.7,-12.4,166.524,33,6.2,Mw,336,,,1.05,NEI,2002062940
29:36.3,-22.201,179.25,620.4,6.5,Mw,534,,,0.91,NEI,2002063040
00:18.5,-5.032,147.336,31.2,6.2,Mw,207,,,1.23,NEI,2002070340
43:55.1,-56.623,-140.69,10,6.1,Mw,23,,,1.44,NEI,2002071940
55:07.8,-57.889,-23.242,33,6.2,Mw,249,,,1.11,NEI,2002073040
16:44.6,7.929,-82.793,10,6.5,Mw,533,,,1.21,NEI,2002073140
11:39.1,29.28,138.97,426.1,6.3,Mw,443,,,0.85,NEI,2002080240
16:27.0,-35.457,-16.238,10,6,Mw,149,,,1.35,NEI,2002080440
59:14.5,7.851,-82.895,10,6,Mw,413,,,1.17,NEI,2002080740
31:05.3,-16.309,-176.172,364.1,6.1,Mw,346,,,0.78,NEI,2002080940
59:24.0,-19.506,169.036,112.2,6,Mw,326,,,0.97,NEI,2002081240
12:39.9,7.831,136.88,10,6.3,Mw,294,,,1.02,NEI,2002081440
57:52.1,14.101,146.199,30,6.5,Mw,260,,,0.97,NEI,2002081440
30:26.2,-1.196,121.333,10,6.2,Mw,169,,,1.02,NEI,2002081540
01:01.2,-21.696,-179.513,580,7.7,Mw,670,,,0.93,NEI,2002081940
08:24.3,-23.884,178.495,675.4,7.7,Mw,302,,,1.08,NEI,2002081940
23:06.2,-23.899,178.375,677.4,6.1,Mb,227,,,1.14,NEI,2002081940
59:32.0,30.986,141.966,9,6.3,Mw,324,,,0.92,NEI,2002082040
40:53.4,43.11,146.118,42.6,6.1,Mw,499,,,0.77,NEI,2002082440
14:59.9,14.284,51.945,10,6,Mw,242,,,1.25,NEI,2002090140
21:28.6,38.381,13.701,5,6,Mw,528,,,0,ROM,2002090640
14:19.6,-20.275,-176.036,209.9,6,Mw,319,,,0.86,NEI,2002090740
15:55.7,-22.836,178.933,618.8,6,Mw,251,,,1.05,NEI,2002090840
44:23.7,-3.302,142.945,13,7.6,Mw,428,,,1.16,NEI,2002090840
28:29.5,13.036,93.068,21,6.5,Mw,646,,,0.9,NEI,2002091340
39:32.7,44.833,129.923,586.3,6.4,Mw,675,,,0.76,NEI,2002091540
23:01.0,-3.313,142.679,10,6.3,Mw,310,,,0.88,NEI,2002091640
20:23.4,-3.284,142.769,10,6,Mw,279,,,0.86,NEI,2002091740
33:41.6,-1.743,134.013,10,6,Mw,164,,,1.05,NEI,2002092040
43:35.5,-1.68,134.234,10,6.4,Mw,241,,,1.25,NEI,2002092040
